
Start time     : 2023-05-23T00:58:04
Program name   : esorex
Severity level : [ INFO  ] 

00:58:08 [ INFO  ] cpl_dfs_product_save: [tid=000] Writing FITS propertylist product(CAL_CPHASE): CALCPHASE_TARGET_RAW_INT_0001.fits
00:58:08 [ INFO  ] mat_oifits_delete: [tid=000] Delete oifits
00:58:08 [ INFO  ] mat_oifits_delete: [tid=000] Delete oifits
00:58:08 [ INFO  ] mat_cal_oifits: [tid=000] ****************************************************
00:58:08 [ INFO  ] mat_cal_oifits: [tid=000] Starting mat_cal_dphase
00:58:08 [ INFO  ] mat_cal_oifits: [tid=000] ****************************************************
00:58:08 [ INFO  ] mat_oifits_load: [tid=000] Load oifits
00:58:08 [ INFO  ] mat_oifits_add_array: [tid=000] Add array
00:58:08 [ INFO  ] mat_oifits_add_wavelength: [tid=000] Add wavelength
00:58:08 [ INFO  ] mat_oivis2_from_table: [tid=000] VIS2 table has 64 wavelength data
00:58:08 [ INFO  ] mat_oifits_add_vis2: [tid=000] Add vis2
00:58:08 [ INFO  ] mat_oifits_find_tupel: [tid=000] Find tuple
00:58:08 [ INFO  ] mat_oifits_select_tupel: [tid=000] Select tuple
00:58:08 [ INFO  ] mat_oit3_from_table: [tid=000] T3 table has 64 wavelength data
00:58:08 [ INFO  ] mat_oifits_add_t3: [tid=000] Add T3
00:58:08 [ INFO  ] mat_oifits_find_tupel: [tid=000] Find tuple
00:58:08 [ INFO  ] mat_oifits_select_tupel: [tid=000] Select tuple
00:58:08 [ INFO  ] mat_oivis_from_table: [tid=000] VIS table has 64 wavelength data
00:58:08 [ INFO  ] mat_oifits_add_vis: [tid=000] Add vis
00:58:08 [ INFO  ] mat_oifits_find_tupel: [tid=000] Find tuple
00:58:08 [ INFO  ] mat_oifits_select_tupel: [tid=000] Select tuple
00:58:08 [ INFO  ] mat_oifits_load: [tid=000] Load oifits
00:58:08 [ INFO  ] mat_oifits_add_array: [tid=000] Add array
00:58:08 [ INFO  ] mat_oifits_add_wavelength: [tid=000] Add wavelength
00:58:08 [ INFO  ] mat_oivis2_from_table: [tid=000] VIS2 table has 64 wavelength data
00:58:08 [ INFO  ] mat_oifits_add_vis2: [tid=000] Add vis2
00:58:08 [ INFO  ] mat_oifits_find_tupel: [tid=000] Find tuple
