target_name_sci,night_sci,tpl_start_sci,obs_targ_name_sci,obs_name_sci,tpl_start_Lcal,obs_targ_name_Lcal,obs_name_Lcal,tpl_start_Ncal,obs_targ_name_Ncal,obs_name_Ncal,comment,calibration_status,skip_calibration
HD_163296,2019-06-25,2019-06-26T06:26:41,HD163296,SCI_HD163296,2019-06-26T07:25:01,HD165135,CAL_HD165135_HD163296_LN,,,,,,1.0
MWC_297,2019-06-25,2019-06-26T08:14:21,MWC297,SCI_MWC297,2019-06-26T09:01:19,HD171443,CAL_HD171443_MWC297_LN,,,,,,1.0
tau_Cet,2019-06-25,2019-06-26T09:26:43,tauCet,SCI_tauCet,2019-06-26T09:58:10,HD6805,CAL_HD6805_tauCet_LN,,,,,,1.0
tau_Cet,2019-06-25,2019-06-26T10:21:51,tauCet,SCI_tauCet,2019-06-26T09:58:10,HD6805,CAL_HD6805_tauCet_LN,,,,,,1.0
V1028_Cen,2019-06-28,2019-06-28T23:49:17,V1028Cen,SCI_V1028Cen,2019-06-28T22:51:08,HD125687,CAL_V1028Cen_HD125687_LN,,,,,,1.0
HD_98922,2019-06-28,2019-06-29T00:50:22,HD98922,SCI_HD98922,2019-06-29T01:20:56,HD107446,CAL_HD98922_HD107446_LN,,,,,,1.0
HD_135344B,2019-06-28,2019-06-29T01:46:09,HD135344B,SCI_HD135344B,2019-06-29T02:26:28,HD136422,CAL_HD136422_HD135344B_LN,,,,,,1.0
HD_144668,2019-06-28,2019-06-29T02:51:22,HD144668,SCI_HD144668,2019-06-29T03:28:41,HD152161,CAL_HD152161_HD144668_LN,,,,,,1.0
HD_144432,2019-06-28,2019-06-29T04:25:16,HD144432,SCI_HD144432,2019-06-29T05:04:00,HD151680,CAL_HD151680_HD144432_LN,,,,,,1.0
KK_Oph,2019-06-28,2019-06-29T05:36:29,KK_Oph,SCI_KK_Oph,,,,,,,,,1.0
V921_Sco,2019-06-28,2019-06-29T06:11:07,V921Sco,SCI_V921Sco,2019-06-29T06:43:24,HD151680,CAL_HD151680_V921Sco_LN,,,,,,1.0
HD_163296,2019-06-28,2019-06-29T07:07:44,HD163296,SCI_HD163296,2019-06-29T07:38:15,HD165135,CAL_HD165135_HD163296_LN,,,,,,1.0
R_CrA,2019-06-28,2019-06-29T08:02:07,R_CrA,SCI_R_CrA,"2019-06-29T09:38:30,2019-06-29T08:32:37",HD183799,CAL_R_CrA_HD183799_LN_n1,,,,,,1.0
VV_CrA_SW,2019-06-28,2019-06-29T08:58:22,VVCrASW,SCI_VVCrASW,,,,,,,,,1.0
pi1_Gru,2019-06-28,2019-06-29T09:52:46,pi1_Gru,SCI_pi1_Gru,2019-06-29T10:30:11,HD211416,CAL_pi1Gru_HD211416_LN,,,,,,1.0
pi1_Gru,2019-06-28,2019-06-29T09:55:32,pi1_Gru,SCI_pi1_Gru,2019-06-29T10:30:11,HD211416,CAL_pi1Gru_HD211416_LN,,,,,,1.0
pi1_Gru,2019-06-28,2019-06-29T10:07:40,pi1_Gru,SCI_pi1_Gru,2019-06-29T10:30:11,HD211416,CAL_pi1Gru_HD211416_LN,,,,,,1.0
HD_97048,2019-06-29,2019-06-30T00:41:31,HD97048,SCI_HD97048,2019-06-29T22:44:27,HD129078,CAL_HD97048_HD129078_LN,,,,,,1.0
HD_97048,2019-06-29,2019-06-30T01:10:42,HD97048,SCI_HD97048,2019-06-29T23:08:45,HD129078,CAL_HD97048_HD129078_LN,,,,,,1.0
HD_98922,2019-06-29,2019-06-30T01:23:26,HD98922,SCI_HD98922,"2019-06-30T02:26:51,2019-06-30T02:11:10,2019-06-30T01:54:44",HD107446,CAL_HD98922_HD107446_LN,,,,,,1.0
HD_142666,2019-06-29,2019-06-30T02:53:05,HD142666,SCI_HD142666,2019-06-30T03:24:49,HD139997,CAL_HD139997_HD142666_LN,,,,,,1.0
HD_150193,2019-06-29,2019-06-30T03:53:19,HD150193,SCI_HD150193,"2019-06-30T05:19:31,2019-06-30T04:24:13",HD151680,CAL_HD151680_HD150193_LN,,,,,,1.0
HD_142527,2019-06-29,2019-06-30T04:49:21,HD142527,SCI_HD142527,,,,,,,,,1.0
